run_id,iter_pi,iter_p,iter_p_with_pi,R,E,sanity_check
1.0,6.0,6.0,2.0,0.0053643716993911905,0.0010851655918428914,5.9304781147889174e-8
2.0,6.0,6.0,2.0,0.007792449816321323,0.0008833380823128635,7.054242413927464e-8
3.0,6.0,6.0,2.0,0.0038594581549462603,0.0005541396149678586,6.964666511586317e-8
4.0,6.0,6.0,2.0,0.0033768557597619875,0.001034765955582504,6.743954666424416e-8
5.0,6.0,6.0,2.0,0.007410908592289989,0.0014506563480742585,4.947821415396495e-8
6.0,6.0,6.0,2.0,0.004696389205020024,0.0010390817549098242,6.007400302918237e-8
7.0,6.0,6.0,2.0,0.006838627352131477,0.0011535862603036246,4.980119328539961e-8
8.0,6.0,6.0,2.0,0.0069435133143613825,0.0015171168107320527,5.817225357405338e-8
9.0,6.0,6.0,2.0,0.005682018827583901,0.0010842797641562932,5.012890224320541e-8
10.0,6.0,6.0,2.0,0.00616899909548807,0.0006238502064549735,6.892770844847963e-8
11.0,6.0,6.0,2.0,0.006627121293588001,0.0006378817908717411,6.138014498640497e-8
12.0,6.0,6.0,2.0,0.004722045521516893,0.0008795268365048266,5.949719291951056e-8
13.0,5.0,6.0,2.0,0.006939754395935305,0.0005733711067499882,5.770468276650432e-8
14.0,6.0,6.0,2.0,0.006498309905979438,0.0008910462636013759,6.952270630119277e-8
15.0,6.0,6.0,2.0,0.005380490982769048,0.0009139915305928279,5.3571405995915323e-8
16.0,6.0,6.0,2.0,0.005095091620219483,0.001144078974486691,5.472178860935959e-8
17.0,6.0,6.0,2.0,0.006631152225958337,0.0008381117160242332,6.02158380042551e-8
18.0,6.0,6.0,2.0,0.003643244656580613,0.0009409908067732663,7.263046026051129e-8
19.0,6.0,6.0,2.0,0.007895508453850342,0.0005296646848287629,6.049319335710058e-8
20.0,6.0,6.0,2.0,0.005119642551634662,0.0010176760503704506,5.31469981403839e-8
21.0,6.0,6.0,2.0,0.005376479682150714,0.0009630186175463081,5.368289085680685e-8
22.0,6.0,6.0,2.0,0.009287076132217242,0.0009348259806399911,5.339320290981043e-8
23.0,6.0,6.0,2.0,0.004644434344636794,0.0005761494327172919,6.95779335121688e-8
24.0,6.0,6.0,2.0,0.003214547546462887,0.000935496597632873,6.684932527189079e-8
25.0,6.0,6.0,2.0,0.0029773920636548823,0.000993145869578251,5.675842533583881e-8
26.0,6.0,6.0,2.0,0.003200028429061863,0.0006067582129013824,7.091023218699013e-8
27.0,6.0,6.0,2.0,0.005037844657419299,0.0013172574661974485,7.155149283195374e-8
28.0,7.0,6.0,2.0,0.006062247325049119,0.0012953505423429048,6.167378549414577e-8
29.0,6.0,6.0,2.0,0.007165780496980689,0.0012628614158399739,6.6572831752304e-8
