run_id,iter_pi,iter_p,iter_p_with_pi,R,E,sanity_check
1.0,7.0,7.0,3.0,0.032002189860995234,0.002661574473865294,5.80376640868982e-7
2.0,8.0,7.0,2.0,0.04652820300636651,0.0038454233868704213,1.142103907494815e-6
3.0,7.0,7.0,2.0,0.021846848904412575,0.002868181864754941,1.1170183124263367e-6
4.0,8.0,7.0,3.0,0.019242100538139795,0.0034985167982766324,9.365868692671165e-7
5.0,8.0,7.0,3.0,0.04917956077016239,0.003265031051630149,2.0725646308685248e-7
6.0,8.0,7.0,3.0,0.02343433281157492,0.002586532998719273,5.837331736594726e-7
7.0,7.0,7.0,3.0,0.03917394207568181,0.002094658139559948,2.5228329389271906e-7
8.0,8.0,7.0,3.0,0.047835362697950856,0.004137989179174752,4.6887258576720115e-7
9.0,8.0,7.0,3.0,0.030762315320644884,0.0086764182178876,2.693558332171619e-7
10.0,7.0,7.0,2.0,0.0299414231545998,0.0036301662658299585,1.0322622959034692e-6
11.0,8.0,7.0,2.0,0.035110666770308274,0.0026892287308878282,6.370594837730781e-7
12.0,9.0,7.0,2.0,0.027681289598330716,0.0013564429721945172,6.473551459552927e-7
13.0,6.0,7.0,2.0,0.03892166094953042,0.002664704725889526,5.60895488542522e-7
14.0,8.0,7.0,2.0,0.036957120468853244,0.003783369707373692,1.0757905117165125e-6
15.0,7.0,7.0,3.0,0.03292534653702117,0.0030479798885072813,3.737121360254208e-7
16.0,7.0,7.0,3.0,0.03126295153077807,0.001911398418723108,3.9973092159184924e-7
17.0,8.0,7.0,2.0,0.03703323233836486,0.006835926343997894,6.317109272567206e-7
18.0,9.0,7.0,2.0,0.016482025637351683,0.0050663826078377085,1.197154146292991e-6
19.0,7.0,7.0,2.0,0.04354860612589273,0.0027544674030727826,6.262284629956306e-7
20.0,7.0,7.0,3.0,0.02918223947977361,0.0017935322269170989,3.689622061379139e-7
21.0,7.0,7.0,3.0,0.02987721255608844,0.0029153553638817478,3.7870442194497507e-7
22.0,7.0,7.0,3.0,0.056828176642889194,0.006174776797192975,3.665188592028396e-7
23.0,9.0,7.0,2.0,0.024759563030781973,0.0029514201081860506,1.002709673087618e-6
24.0,8.0,7.0,2.0,0.014238288529364596,0.0035123388335553986,9.225818829269789e-7
25.0,8.0,7.0,2.0,0.013991465185400953,0.003232176961315146,4.4653966340030954e-7
26.0,9.0,7.0,2.0,0.014161579851542871,0.003034693157064527,1.0503316770274737e-6
27.0,8.0,7.0,3.0,0.03432038940095472,0.0037745635944073184,1.1221295008816619e-6
28.0,9.0,7.0,2.0,0.03664131015984662,0.0022123279923003986,5.748662829234174e-7
29.0,8.0,7.0,3.0,0.044565293192246225,0.003427315073415072,8.964160013130186e-7
30.0,7.0,7.0,3.0,0.05600274526392379,0.0026642160482256605,1.8424350608110674e-7
31.0,9.0,7.0,2.0,0.046521226366272206,0.0018119809671274115,6.994214737098751e-7
32.0,7.0,7.0,3.0,0.055821204746125175,0.0017873821058197678,3.7547211444368476e-7
33.0,7.0,7.0,3.0,0.051631535081040125,0.0022892055091502947,2.3775305249797136e-7
34.0,9.0,7.0,2.0,0.01613145274116512,0.003730747879536469,1.0935375048166618e-6
35.0,9.0,7.0,2.0,0.04703094571613797,0.0035906849805495606,9.335208730699726e-7
36.0,8.0,7.0,3.0,0.04246234633320567,0.003296109234489901,8.564145513741601e-7
37.0,8.0,7.0,3.0,0.03171663049204543,0.004624662040363409,9.516502935314341e-7
38.0,7.0,7.0,2.0,0.03885490717520823,0.0025526219792186265,5.340846564373728e-7
39.0,7.0,7.0,2.0,0.027534861208374117,0.0022957823554538583,2.0859622654553466e-7
40.0,7.0,7.0,3.0,0.028019797386182876,0.002275846033318494,4.859201702387216e-7
41.0,9.0,7.0,2.0,0.042655396606827045,0.0048990712036102915,1.0526493295435046e-6
42.0,7.0,7.0,3.0,0.03874329222829309,0.009762195204368187,2.1539681152507504e-7
43.0,9.0,7.0,2.0,0.025854382043470236,0.003664671051761743,1.2226886064848382e-6
44.0,7.0,7.0,3.0,0.028170952268050664,0.0019764215518503496,4.0839866112358946e-7
45.0,8.0,7.0,3.0,0.02394739138697921,0.0027028339468237773,6.018121080017681e-7
46.0,5.0,7.0,3.0,0.04803940299016318,0.0027780261037477754,2.051619616027104e-7
47.0,9.0,7.0,2.0,0.02126426099875811,0.005348787673511539,1.3366850567728338e-6
48.0,8.0,7.0,3.0,0.0445793982493663,0.003305038183154163,6.959187504414465e-7
49.0,8.0,7.0,2.0,0.03758039855378659,0.003781130200748542,1.1007003838116506e-6
50.0,8.0,7.0,3.0,0.03627132154064938,0.003891154131914709,1.1658135704687114e-6
51.0,6.0,7.0,3.0,0.056981955614641255,0.00220373037466267,2.2333164996746743e-7
52.0,8.0,7.0,2.0,0.031805764538950454,0.00635070495776328,7.360314270234551e-7
53.0,7.0,7.0,3.0,0.04373679439420397,0.0025411048732713122,2.217515422822828e-7
54.0,7.0,7.0,3.0,0.03735593663625769,0.0023738439776784235,2.405393974227179e-7
55.0,8.0,7.0,3.0,0.027811366645816182,0.001956127004708505,2.589852928324176e-7
56.0,7.0,7.0,3.0,0.04721249524905824,0.002569671782425743,2.0228399184400823e-7
57.0,8.0,7.0,2.0,0.01415446102122786,0.005586802381061454,9.971836362064637e-7
58.0,8.0,7.0,2.0,0.027503653832672947,0.0057820021262477445,9.254946023275601e-7
59.0,9.0,7.0,2.0,0.04532884361351819,0.003952979396765517,8.320129366335643e-7
60.0,8.0,7.0,3.0,0.02543447875738769,0.003149131511761274,7.46254826130663e-7
61.0,8.0,7.0,3.0,0.04013633800290117,0.0036850651538052593,1.0092641204128084e-6
62.0,8.0,7.0,3.0,0.04076060926823444,0.0031577442861196402,7.418460671121219e-7
63.0,7.0,7.0,3.0,0.018626847725399465,0.0023470178460745024,2.1072105433947337e-7
64.0,8.0,7.0,2.0,0.03662913824969172,0.00315411928824988,6.48657286652613e-7
65.0,7.0,7.0,2.0,0.028759930280705337,0.0018616722986135243,4.025118495824599e-7
66.0,6.0,7.0,2.0,0.02786496162222285,0.0032490832108175278,7.816548061655268e-7
67.0,9.0,7.0,2.0,0.04177514549869343,0.003620370466116777,1.111027177753495e-6
68.0,8.0,7.0,2.0,0.013758553496353354,0.004623401960610075,8.122426266452044e-7
69.0,8.0,7.0,3.0,0.030805660547380542,0.010801767869711647,3.07331039151449e-7
70.0,7.0,7.0,3.0,0.042099626409405344,0.0019945884050030158,3.036327477283858e-7
71.0,7.0,7.0,3.0,0.03817421978297619,0.0017003674995180857,3.5574225245370647e-7
72.0,9.0,7.0,3.0,0.03331962672359845,0.004140863223383908,8.906167956638964e-7
73.0,8.0,7.0,3.0,0.0494968814906922,0.003201397359006777,7.714625886912682e-7
74.0,9.0,7.0,2.0,0.05534994427510731,0.006419859918086214,1.0063331958912494e-6
75.0,5.0,7.0,2.0,0.04857056751219391,0.0023761630362692508,2.655141169731352e-7
76.0,5.0,7.0,2.0,0.02027734170919393,0.002389364439833223,4.915555815519652e-7
77.0,7.0,7.0,2.0,0.022120820972479915,0.006692452310383034,6.103567544487739e-7
78.0,7.0,7.0,3.0,0.02950098972323678,0.0025920242751317647,1.8435793313455347e-7
79.0,9.0,7.0,3.0,0.040681339508620296,0.00252417758467914,4.135548178955924e-7
80.0,6.0,7.0,3.0,0.04382063803068492,0.0024182613568325944,3.9766880335361417e-7
81.0,7.0,7.0,3.0,0.037308326024368066,0.0021999069758219694,2.772920994136425e-7
82.0,7.0,7.0,3.0,0.0532770129123753,0.001743983887291897,3.3544756839744567e-7
83.0,7.0,7.0,3.0,0.05615027773609027,0.0022243944008549033,2.5301948336513923e-7
84.0,8.0,7.0,2.0,0.044670783559948024,0.0019834319648898845,2.606030136001386e-7
85.0,5.0,7.0,2.0,0.03895561532296643,0.0027484698178496876,5.845699032327261e-7
86.0,8.0,7.0,2.0,0.05348920171891702,0.005749989096676098,1.1932598970753995e-6
87.0,8.0,7.0,3.0,0.03477440090587813,0.010178324395026134,2.5406969833152924e-7
88.0,9.0,7.0,2.0,0.039863269604851315,0.004226947933844964,1.1392377111003532e-6
89.0,7.0,7.0,3.0,0.043896568776836675,0.0020153753305585482,3.230946806925486e-7
90.0,7.0,7.0,3.0,0.03187544143563126,0.001812682405152514,3.1720295800183054e-7
