run_id,iter_pi,iter_p,iter_p_with_pi,R,E,sanity_check
1.0,6.0,6.0,2.0,0.02660615101594921,0.0014144569976099468,1.0146950505763824e-7
2.0,7.0,6.0,2.0,0.028346695089098484,0.002641381805207164,1.4089202507111442e-7
3.0,5.0,6.0,2.0,0.029195198575488135,0.002093402180568221,1.3974481551598203e-7
4.0,7.0,6.0,2.0,0.014013571020597304,0.0021967258517982566,1.234095840288247e-7
5.0,7.0,6.0,2.0,0.033525902930395146,0.0033366847021591905,6.991966928108932e-8
6.0,7.0,6.0,2.0,0.013345145656356694,0.0019664375201824346,8.966663948610339e-8
7.0,6.0,6.0,2.0,0.02176954204477588,0.0017273613094243626,6.43312632968584e-8
8.0,7.0,6.0,3.0,0.03579936335980438,0.0027866609970877225,7.59555529760814e-8
9.0,6.0,6.0,2.0,0.01734557483304222,0.0032644761707140645,5.45569709156717e-8
10.0,5.0,6.0,2.0,0.02346550968621064,0.002477971181517793,1.306567403456427e-7
11.0,6.0,6.0,2.0,0.025158665416626702,0.001458970962308981,9.35888437031729e-8
12.0,7.0,6.0,2.0,0.023059470572690755,0.001575387143471379,9.228453272388335e-8
13.0,5.0,6.0,2.0,0.02377546967945454,0.0014938044233006847,8.237639096686928e-8
14.0,7.0,6.0,2.0,0.02316969275571723,0.0025320943218497074,1.3479153944090312e-7
15.0,6.0,6.0,2.0,0.02641687963041961,0.001473592704006284,6.590624007358215e-8
16.0,6.0,6.0,2.0,0.021408248400686558,0.0013533616315572006,8.670484615498426e-8
17.0,7.0,6.0,2.0,0.02390279148680796,0.00285630940735455,9.117571176244881e-8
18.0,7.0,6.0,2.0,0.016638463868557718,0.002564481056775127,1.4751969991514174e-7
19.0,6.0,6.0,2.0,0.03189521881293822,0.0015573206192378785,9.090232109138099e-8
20.0,6.0,6.0,2.0,0.023718880975323264,0.0011745326709922566,7.346172901794976e-8
21.0,6.0,6.0,2.0,0.025050399573067317,0.001469010624986347,7.028327346065415e-8
22.0,6.0,6.0,2.0,0.031770801402027704,0.0030396858953810092,6.47324687877685e-8
23.0,7.0,6.0,2.0,0.02419221860713705,0.0019031710819958831,1.331271400480919e-7
24.0,7.0,6.0,2.0,0.01373126340990849,0.00221266066309214,1.20842727972282e-7
25.0,7.0,6.0,2.0,0.01113975991616778,0.001993865303255052,7.487611832030967e-8
26.0,8.0,6.0,2.0,0.015549696997060103,0.0018610786421010732,1.3947849507548445e-7
27.0,7.0,6.0,2.0,0.02738343242360486,0.0029004261097764776,1.447911949639375e-7
28.0,7.0,6.0,2.0,0.032135286213335945,0.0027314905699266662,9.355351444093814e-8
29.0,7.0,6.0,2.0,0.03205299195714817,0.0021384389794541795,1.4642954013037062e-7
30.0,6.0,6.0,2.0,0.025349498649287705,0.0022192283234155974,9.699137681443683e-8
31.0,7.0,6.0,2.0,0.029109880422899748,0.0025216988847008587,1.0097430883464573e-7
32.0,6.0,6.0,2.0,0.03588906501369671,0.0018941286923694592,7.095853104531457e-8
33.0,6.0,6.0,3.0,0.031387467681514014,0.0019252997881333603,4.6452765859416854e-8
34.0,7.0,6.0,2.0,0.016172575349437057,0.0025735578151246225,1.3818309942596027e-7
35.0,7.0,6.0,2.0,0.02881457293542522,0.00309713689413729,1.2568472814194927e-7
36.0,7.0,6.0,2.0,0.02473797029148006,0.002036155901478052,1.1519319605531635e-7
37.0,7.0,6.0,2.0,0.0225642473817651,0.002817706947659898,1.2974690488247082e-7
38.0,6.0,6.0,2.0,0.022747597842876166,0.0013669070151054257,7.972991141978362e-8
39.0,6.0,6.0,2.0,0.01850723014040434,0.0014385620696095174,4.2876961671225904e-8
40.0,6.0,6.0,2.0,0.02421895873875668,0.0011432541179913736,8.394045852919019e-8
41.0,7.0,6.0,2.0,0.02950315204973175,0.0019421067241276937,1.319306572314162e-7
42.0,6.0,6.0,2.0,0.02049150318116344,0.0037115048360051167,5.265903806191545e-8
43.0,8.0,6.0,2.0,0.01738378570420629,0.00309790741027502,1.540854535601051e-7
44.0,6.0,6.0,2.0,0.023421229960267853,0.0010888853120133428,7.439712338221192e-8
45.0,7.0,6.0,2.0,0.01740134034914953,0.002234501146299292,9.326225858806897e-8
46.0,5.0,6.0,2.0,0.02781659877995568,0.002432143719808072,3.9924103654881634e-8
47.0,7.0,6.0,2.0,0.03234696257132974,0.0022312598015172725,1.563423254008855e-7
48.0,7.0,6.0,2.0,0.026718648141450307,0.002898961357500895,1.0360005182679235e-7
49.0,7.0,6.0,2.0,0.02265979826410125,0.0025543728195646224,1.374030642545095e-7
50.0,7.0,6.0,2.0,0.021103095561811447,0.00271232530564454,1.4335012316999146e-7
51.0,5.0,6.0,2.0,0.03045573529644441,0.002245179772361745,4.426124030618833e-8
52.0,6.0,6.0,2.0,0.019718641366140544,0.003392694818697112,1.020785936785756e-7
53.0,6.0,6.0,2.0,0.03014211054806326,0.0020485308221447965,1.2134310170209555e-7
54.0,6.0,6.0,2.0,0.027226229927946655,0.0016798795685442599,7.387830526664705e-8
55.0,6.0,6.0,2.0,0.018643687616235693,0.00233880344713574,6.812299712244746e-8
56.0,6.0,5.0,2.0,0.02223118915294653,0.002122668203928819,3.742352843823539e-8
57.0,7.0,6.0,2.0,0.013626083342341833,0.002773209727318288,1.277771325625958e-7
58.0,7.0,6.0,2.0,0.020562356582155772,0.0017659163854357581,1.192802047989991e-7
59.0,7.0,6.0,2.0,0.031093395905237742,0.0019671636213142506,1.1388318805891619e-7
60.0,6.0,6.0,2.0,0.024337120932500067,0.001876021514048707,1.0630946321625208e-7
61.0,7.0,6.0,2.0,0.030402746067833553,0.0023865960601910626,1.4272573869038464e-7
62.0,6.0,6.0,2.0,0.02337480326748298,0.0018886285877585682,1.029565473877716e-7
63.0,6.0,6.0,2.0,0.012450783346397598,0.0012890061558659366,5.33217815094743e-8
64.0,7.0,6.0,2.0,0.02305725737923403,0.0020284192814078823,9.542162533655277e-8
65.0,6.0,6.0,2.0,0.02349707704334003,0.00136010258163138,6.708567212818755e-8
66.0,5.0,6.0,2.0,0.017908534655618924,0.0020470488046433707,1.0528145823937066e-7
67.0,7.0,6.0,2.0,0.031798386269132006,0.0022725282022770742,1.415680950309581e-7
68.0,7.0,6.0,2.0,0.01074025421558611,0.002337794479468779,1.1215290876283703e-7
69.0,7.0,6.0,2.0,0.0222482712854859,0.004479337190693956,7.412648370945732e-8
70.0,6.0,6.0,2.0,0.03246117103748691,0.0019196013856819078,1.1060701262824751e-7
71.0,6.0,6.0,2.0,0.0306167138747373,0.0015746991302794807,8.818592388903087e-8
72.0,7.0,6.0,2.0,0.02703022609018957,0.00317039316883009,1.240380178478729e-7
73.0,6.0,6.0,2.0,0.028489669529830675,0.0019343496534880982,1.0622999937160033e-7
74.0,7.0,6.0,2.0,0.03370323379092954,0.002853880681212216,1.299417912524914e-7
